t    x                     y
1   -0.5225987755982988   -0.999995500003375
2   -0.5216062755870489   -0.9999821347998678
3   -0.5196287192368921   -0.9999290747746065
4   -0.5166809376054997   -0.9997846535582331
5   -0.5137850360346704   -0.9995666386249623
6   -0.5099627268780219   -0.9991633784708054
7   -0.5052426595646546   -0.9984841216547997
8   -0.50066019355041   -0.9976331308093933
9   -0.4952496311485375   -0.9963856463999503
10   -0.4890514311086808   -0.9946339703738979
11   -0.4821118725313047   -0.9922647588799691
12   -0.47448266303445   -0.9891638607575682
13   -0.46622049284553096   -0.9852213426022471
14   -0.4573865377462648   -0.980336510211644
15   -0.4480459152347757   -0.9744227264692077
16   -0.4392670997972693   -0.9681670955202397
17   -0.43011404627111527   -0.9609298217743882
18   -0.4206529730446476   -0.9526875850425802
19   -0.4109517779552262   -0.9434393189156352
20   -0.40107944598600315   -0.9332076337222635
21   -0.39110545802230673   -0.9220394209343504
22   -0.3810992100360934   -0.9100056254280294
23   -0.3721294518040786   -0.8985210450100878
24   -0.36425701967353147   -0.8879050829580553
25   -0.35653465429011594   -0.8770102884656766
26   -0.34901346789504206   -0.8659468193356302
27   -0.3417426217188749   -0.8548324518327605
28   -0.3347690358271475   -0.8437903125909295
29   -0.3291371324341361   -0.8346028390869318
30   -0.32488235943842747   -0.8275037882498284
31   -0.3210312367740696   -0.820961949915616
32   -0.31860757136999734   -0.8167886710027898
33   -0.31762624838999065   -0.8150866494053037
34   -0.3180932730762084   -0.8158975460660787
35   -0.32000578901612536   -0.8192015285268005
36   -0.32335206935365823   -0.8249174864259
37   -0.3281114826037934   -0.8329039466440356
38   -0.33325443979898595   -0.8413430821648747
39   -0.3387486506206614   -0.850137281269471
40   -0.34455926421836075   -0.8591865839123327
41   -0.35064903382204865   -0.8683904020099785
42   -0.35697850628755706   -0.8776492856208878
43   -0.36450623720663766   -0.8882487749206279
44   -0.3731823749402117   -0.8999030401137798
45   -0.38294873776061983   -0.912292025434802
46   -0.3937389513401967   -0.9250688576501398
47   -0.4054786634999656   -0.937868637916797
48   -0.4170858519490793   -0.949380404347462
49   -0.4294783621787433   -0.9604002176743429
50   -0.44256743280551525   -0.9705978680425363
51   -0.45625827051010515   -0.979662962497872
52   -0.47045073357234435   -0.9873156916828978
53   -0.4840401201548989   -0.9929662685717046
54   -0.496925500714153   -0.996800121825707
55   -0.5100107174114091   -0.9991692560842572
56   -0.5231978163230121   -0.9999992765425553
57   -0.5363879224284546   -0.9992640600407618
58   -0.5484821334639359   -0.9972149769424921
59   -0.5603898925994273   -0.9939150428446292
