t        x       y 
1   -0.522598775598   -0.999995500003
2   -0.520606275587   -0.999959702517
3   -0.517636219024   -0.999840019902
4   -0.514710879251   -0.999644544903
5   -0.510852190803   -0.999268949682
6   -0.506089078443   -0.998620664486
7   -0.500457228426   -0.997591077348
8   -0.493998800626   -0.996059876818
9   -0.487762080993   -0.994226355337
10   -0.480793619098   -0.991766058106
11   -0.474145314255   -0.989014769899
12   -0.466866551231   -0.985551474231
13   -0.459011228666   -0.981286677274
14   -0.450637287298   -0.976140284872
15   -0.441806198029   -0.970045634307
16   -0.432582415659   -0.962953132155
17   -0.423032805307   -0.954833345324
18   -0.413226049595   -0.945679414386
19   -0.403232045556   -0.93550868871
20   -0.393121300728   -0.924363519918
21   -0.383964338118   -0.913535576942
22   -0.374824272595   -0.902040160138
23   -0.365763337362   -0.889974849033
24   -0.357842426165   -0.878888575706
25   -0.350114082763   -0.867593467628
26   -0.342628924722   -0.856209147286
27   -0.335435340083   -0.844861388642
28   -0.328579218607   -0.833679686376
29   -0.322103717871   -0.822794802589
30   -0.316049063522   -0.812336361302
31   -0.310452382158   -0.802430550686
32   -0.305347564585   -0.793197980744
33   -0.301765156622   -0.786607628098
34   -0.29972638163   -0.782816394061
35   -0.299243238529   -0.78191366071
36   -0.300318562277   -0.783920616277
37   -0.302946038698   -0.788790105637
38   -0.306110171736   -0.794589104227
39   -0.310792173666   -0.803038440844
40   -0.315963993669   -0.812187499392
41   -0.322594304899   -0.823630369735
42   -0.329642433585   -0.835436918514
43   -0.338064528144   -0.849054794677
44   -0.346807384689   -0.862617853331
45   -0.356814881595   -0.877413902288
46   -0.368021713849   -0.893043923664
47   -0.380353469851   -0.90907580637
48   -0.393726802718   -0.925055014916
49   -0.408049718452   -0.9405171083
50   -0.422222000011   -0.954107748761
51   -0.436142940387   -0.965778630701
52   -0.45071230017   -0.976189125229
53   -0.464823962866   -0.984495079832
54   -0.479374156046   -0.99121172616
55   -0.494255061658   -0.996127760658
56   -0.509355760986   -0.999087253291
57   -0.524563250421   -0.99999581405
58   -0.538763506305   -0.998965317719
59   -0.551850065938   -0.996410540102
60   -0.564724994471   -0.992398503573
61   -0.577292258311   -0.98705457212
62   -0.589458560249   -0.98054461414
63   -0.601134121294   -0.973068971505
64   -0.612233396946   -0.964855376317
65   -0.622675718915   -0.956151170883
66   -0.632385856914   -0.947215191406
67   -0.64129449873   -0.938309654516
68   -0.648338650116   -0.930793169004
69   -0.653468935825   -0.925057080421
70   -0.657649651242   -0.920220588232
71   -0.660851866311   -0.916418141631
72   -0.663053525942   -0.913754712191
73   -0.663239519763   -0.913527880879
74   -0.662408573287   -0.914539068934
75   -0.659566382864   -0.917954760179
76   -0.654732479723   -0.92361064936
77   -0.647940246757   -0.931229408656
78   -0.639236929998   -0.940426263309
79   -0.628683618963   -0.9507174905
80   -0.616355161759   -0.961532326331
81   -0.603339975053   -0.97152223478
82   -0.588732417331   -0.980969904818
83   -0.573639459994   -0.988752831171
84   -0.557172605621   -0.994931877492
85   -0.539454373058   -0.998868913422
86   -0.520617268353   -0.999959998032
87   -0.501802524654   -0.997862917123
88   -0.482151136369   -0.992279374591
89   -0.462809804962   -0.983417190076
90   -0.442921867907   -0.970853264157
91   -0.422633117486   -0.95447636706
92   -0.402090083435   -0.934292822917
93   -0.381438315762   -0.91042692999
94   -0.360820722897   -0.883115622319
95   -0.340376018553   -0.852697865589
96   -0.320237325192   -0.819599692861
97   -0.300530973322   -0.784316090335
98   -0.28137552496   -0.747391107372
99   -0.262881037413   -0.709397579686
100   -0.245148571209   -0.670917733093
101   -0.228269934479   -0.632525708234
102   -0.212327646163   -0.594772754763
103   -0.197395092547   -0.55817552912
104   -0.183536846162   -0.523207630511
105   -0.170809112883   -0.490294253115
106   -0.159260272021   -0.459809635192
107   -0.148931474935   -0.432076853369
108   -0.140857269819   -0.410107392739
109   -0.134063157803   -0.391434045857
110   -0.129569561202   -0.37899374824
111   -0.12738946268   -0.372933301109
112   -0.126529009543   -0.370536925886
113   -0.127990600745   -0.37460600632
114   -0.131770152177   -0.38509472057
115   -0.137856896243   -0.401881532914
116   -0.146232869482   -0.424761668536
117   -0.156872105749   -0.453435688243
118   -0.169739564509   -0.487495217017
119   -0.183789837412   -0.523854281163
120   -0.199969630056   -0.564567274861
121   -0.218212890339   -0.608872652369
122   -0.238439320581   -0.655857474314
123   -0.260552962677   -0.704457776938
124   -0.284440969519   -0.753469317038
125   -0.309972684039   -0.801570946963
126   -0.335999147736   -0.845765066034
127   -0.362359500141   -0.885271981819
128   -0.389882536719   -0.92061305508
129   -0.418381763606   -0.950594475763
130   -0.447657079013   -0.974159922431
131   -0.477497042792   -0.990451071867
132   -0.50668166831   -0.998712428066
133   -0.535993117673   -0.999308790923
134   -0.565211630889   -0.992217781057
135   -0.594118857712   -0.977704475616
136   -0.621501120499   -0.957177258982
137   -0.647159627047   -0.932080306264
138   -0.671912504315   -0.90263598072
139   -0.6945893696   -0.871289899611
140   -0.71603931315   -0.837927468249
141   -0.735124802692   -0.805321897505
142   -0.752728197769   -0.772905848191
143   -0.768745291033   -0.741535927644
144   -0.783085101399   -0.711996462941
145   -0.795669454137   -0.684985860548
146   -0.806432415973   -0.661108632478
147   -0.815319652324   -0.640872023953
148   -0.82228776933   -0.624685992071
149   -0.827303696202   -0.612865259704
